phase,fold,seed,model,target,mae,rmse,wape,smape,mape,bias,mase,rmsse
cv,1,3407,Transformer,orders,1340.185459136963,1900.2693557656748,0.15656009439854834,0.16640024445005497,0.17588766008404752,835.4477135721843,0.9133919002274825,0.8225305067221825
cv,1,9999,Transformer,carts,3441.661852010091,4902.997400755094,0.1280379597557252,0.1259873905887387,0.1361215658330875,2083.7751475016275,0.9434430786441848,0.8554268197706286
cv,1,9999,Transformer,orders,1174.9005641174317,1746.3827829036813,0.13725155871008032,0.13956892535178908,0.1501599353343156,535.0903092956543,0.800743398252234,0.755920791436365
cv,1,42,GRU,carts,3500.4216670735677,5003.090938404667,0.13022396383162163,0.13084090809890067,0.1429100057742226,1116.825447998047,0.9595505706662938,0.8728901569076175
cv,1,42,GRU,orders,1412.824107767741,1979.7215059746854,0.1650457212266002,0.16057792211166835,0.1712183897299124,93.24594797770182,0.9628981479266245,0.8569213246203391
cv,1,123,GRU,carts,3523.1583532714844,5099.952795189692,0.13106982232602518,0.13010044430244563,0.14209031642893383,1157.552763264974,0.9657832484095186,0.8897896621151731
cv,1,123,GRU,orders,1398.9584502156576,1978.0793410132312,0.16342593894911597,0.15828139235397207,0.16720627748530467,83.12896423339843,0.9534481279961318,0.8562105144534709
cv,1,2026,GRU,carts,3481.191657307943,4869.881928918901,0.12950856199310712,0.1291509144562519,0.13941402101969141,874.4858972167968,0.9542791580767499,0.8496491575687938
cv,1,2026,GRU,orders,1380.3724542236328,1927.17106833606,0.16125472804157764,0.157593133178659,0.1658531328464356,43.63449208577474,0.9407810019047114,0.8341748976634329
cv,1,3407,GRU,carts,3369.3512182617187,4724.664054267401,0.12534783317969983,0.12500504034196155,0.13545764396686474,1021.9692618815104,0.9236209782009258,0.8243129694101274
cv,1,3407,GRU,orders,1311.0097961425781,1820.198713456967,0.15315180152281263,0.14857421636544932,0.1562357696359064,49.46798380533854,0.8935074774551307,0.7878719748714625
cv,1,9999,GRU,carts,3104.7261759440103,4500.156150141828,0.11550315581871996,0.1237778092491605,0.13460094328122113,1064.0278979492186,0.8510808288934759,0.7851430358486838
cv,1,9999,GRU,orders,1335.2508128356933,1869.8593145649597,0.15598363038345023,0.1545568016729448,0.16346507797082835,26.536520436604818,0.9100287343825332,0.8093675377344582
cv,2,,Ridge,carts,2808.516046583206,4406.262805782609,0.11661667202306683,0.12632632569457058,0.13404107700080417,1776.0921336022934,0.7804027780093723,0.7789002202323054
cv,2,,Ridge,orders,1416.5290196758583,2011.2850373873448,0.1987979302903492,0.23221177095616516,0.28323176274411843,1334.8448941352115,0.9872476772418439,0.886910590012513
cv,2,,Extra Trees,carts,2649.3845901117534,4523.842977239889,0.11000913246833974,0.11841206096709113,0.12302492518376852,1369.8757564245225,0.7361848961674357,0.799685004408782
cv,2,,Extra Trees,orders,1046.4099783741613,1352.0759216857793,0.14685483674987054,0.15648386667442993,0.17322794361420685,867.7336272621164,0.729293792250704,0.5962210383674742
cv,2,,Persistence,carts,15105.888333333334,18789.95624063558,0.6272345951266814,0.7637076383943676,1.7502663156014653,-862.355,4.19747547249182,3.3215225008320814
cv,2,,Persistence,orders,5038.621666666667,6250.425762964738,0.707128159703112,0.8251391831134686,2.4548514775676233,297.48833333333334,3.51165946325291,2.756232308306511
cv,2,,Seasonal naive 24h,carts,5214.86,7892.9691719909815,0.21653414407443494,0.18169395185250506,0.19541608962125157,2796.6966666666667,1.4490539357541055,1.3952493751127126
cv,2,,Seasonal naive 24h,orders,1544.9233333333334,2143.9651225396988,0.21681699199795662,0.1822081821731401,0.1979480364217496,1434.7266666666667,1.076731892650582,0.9454181463349351
cv,2,,Seasonal naive 168h,carts,3943.2516666666666,5708.29403164086,0.16373375785960806,0.15647803041002714,0.16660995673741458,2626.508333333333,1.0957119361310312,1.009061800072572
cv,2,,Seasonal naive 168h,orders,1160.8866666666668,1441.6023041509518,0.16292067683004843,0.1550196913830471,0.17082342781233037,1150.0233333333333,0.8090781405028677,0.6356992302785596
cv,2,,Seasonal blend 24h+168h,carts,4303.424166666667,6671.8788000145305,0.1786890287598143,0.15248089848080487,0.1636849931947141,2711.6025,1.195793123099693,1.179395804506845
cv,2,,Seasonal blend 24h+168h,orders,1343.2416666666666,1749.2866462742272,0.18851266688076557,0.16696540863200887,0.18248889087460465,1292.375,0.9361701715751518,0.7713779114885823
cv,2,42,Transformer,carts,3377.0826981608075,4889.163282861637,0.14022499386653403,0.1460407242803402,0.1570881003649807,2243.828339436849,0.9383904793488247,0.8642631013236284
cv,2,42,Transformer,orders,1499.880294494629,1890.7136172670273,0.21049558045555752,0.21534198504395666,0.25086916527749986,1451.976471455892,1.0453392174199674,0.8337425569541719
cv,2,123,Transformer,carts,3498.2919649251303,4971.565329839735,0.14525790842851702,0.14832072222285825,0.1612089343558815,2433.3323091634115,0.9720709166097887,0.8788294073675171
cv,2,123,Transformer,orders,1673.0618329874674,2297.148609628432,0.23480015236242383,0.23260364375823797,0.280015307922033,1617.9249506632486,1.1660378188911515,1.0129670289590134
cv,2,2026,Transformer,carts,3725.396475423177,5292.2382282186845,0.15468786067961063,0.15303838587056398,0.1657073400002722,2631.540068359375,1.0351764812394633,0.9355151299808175
cv,2,2026,Transformer,orders,1618.9822373453776,2021.0098905557807,0.2272105360995346,0.2251597832521846,0.26044384198126236,1542.2101915486653,1.1283471295778833,0.8911989306012773
cv,2,3407,Transformer,carts,3869.7019506835936,5364.698614568712,0.16067978808912287,0.15352391563503204,0.16563673269412624,2780.1082161458335,1.0752746654432526,0.948324037069175
cv,2,3407,Transformer,orders,1728.5656794230142,2170.2157791130403,0.24258965024158835,0.22095041832143186,0.2564324394493849,1670.0334133911133,1.2047211375597804,0.9569938230176996
cv,2,9999,Transformer,carts,3769.674206542969,5305.106891522065,0.1565263837865746,0.1530793753890868,0.16696072768060133,2660.715546061198,1.0474799410725932,0.9377899386163678
cv,2,9999,Transformer,orders,1640.5958353678386,2092.5455740870466,0.23024382274125552,0.21828603524079762,0.2535115930473313,1485.6490431722004,1.1434106928004684,0.9227438156415795
cv,2,42,GRU,carts,2966.4509114583334,4527.1017607544345,0.12317452607576379,0.14860590457530679,0.16271490617571502,1686.936797688802,0.8242881627637274,0.8002610633750874
