phase,model,target,mae_mean,mae_std,mae_count,rmse_mean,rmse_std,rmse_count,wape_mean,wape_std,wape_count,smape_mean,smape_std,smape_count,mape_mean,mape_std,mape_count,bias_mean,bias_std,bias_count,mase_mean,mase_std,mase_count,rmsse_mean,rmsse_std,rmsse_count
cv,Seasonal naive 24h,orders,1569.0994444444443,875.6811675558846,3,2159.8143692959757,1045.2784203776876,3,0.20411865185305303,0.08988723710199474,3,0.19187916696417007,0.10855802065566625,3,0.19111002894056606,0.09147439122796676,3,327.6905555555556,1281.3168235499124,3,1.085986218835785,0.5837287853890447,3,0.947621605166933,0.4419945296110929,3
cv,Transformer,carts,3400.3494811197916,400.6645291689725,15,4896.920603582646,486.85163929326956,15,0.13601987764290555,0.01762087390360387,15,0.13180266661710474,0.017563829912813855,15,0.14088898295940275,0.021239878648463332,15,2242.1178861762155,566.1608241673317,15,0.9469296481593348,0.1080476108771576,15,0.8678196862760761,0.08400692374387718,15
cv,Transformer,orders,1558.15393262736,292.14446896488425,15,2076.7278458956507,322.24088622397113,15,0.21742870925162328,0.062279931721155674,15,0.19644100060633377,0.03656152828304102,15,0.22389425206883729,0.04957048438624132,15,1295.8915985887315,580.5683747250579,15,1.0927863411117968,0.22552673912960142,15,0.9193357177096871,0.15650965923382795,15
holdout,Extra Trees,carts,2983.720645471965,,1,4338.158623736009,,1,0.1185700426193148,,1,0.10911814352254964,,1,0.10873675199838148,,1,-377.3184939618858,,1,0.8472245939312221,,1,0.7835017103037145,,1
holdout,Extra Trees,orders,974.4528783792981,,1,1528.131546244642,,1,0.13375070208565418,,1,0.12453543927985371,,1,0.1276842260700557,,1,15.144898301468151,,1,0.6999420523013866,,1,0.6898170126668157,,1
holdout,GRU,carts,2917.893255029966,98.68149344567315,5,4133.5041964238535,99.98383958623751,5,0.11595412865898105,0.003921502806017649,5,0.12050754826887675,0.005099516379230264,5,0.11920639890041859,0.005467938297400668,5,-336.6433782708155,208.44212381224827,5,0.8285329700282233,0.028020514701976158,5,0.7465396930683441,0.018057778913368842,5
holdout,GRU,orders,936.7147034388154,28.05458048768208,5,1384.7465163512575,43.22564939403591,5,0.12857086475774177,0.003850693984491896,5,0.13831948254223142,0.004684731972947574,5,0.14180298816938364,0.005718528074761648,5,23.260084018097622,28.961597013097325,5,0.6728350097711385,0.02015139067130882,5,0.6250912806280623,0.019512579534696307,5
holdout,Persistence,carts,14658.261415525114,,1,18432.62806112373,,1,0.5825044926378986,,1,0.7398288838900553,,1,1.6120107015756613,,1,-1545.8470319634703,,1,4.162199163769754,,1,3.3290612132677806,,1
holdout,Persistence,orders,4608.622716894977,,1,5793.995811925247,,1,0.6325667846123051,,1,0.8204322307732623,,1,2.339380418489266,,1,-510.60445205479454,,1,3.3103384620417295,,1,2.615479598080661,,1
holdout,Ridge,carts,2240.730755014969,,1,3188.1326487086694,,1,0.08904437535857465,,1,0.09231878682907065,,1,0.09339738717458515,,1,147.68609045231653,,1,0.6362533325322313,,1,0.5757989966690438,,1
holdout,Ridge,orders,887.086985081528,,1,1278.2550749847999,,1,0.12175910164382275,,1,0.12738949370765631,,1,0.1332510281350782,,1,231.78212039286532,,1,0.6371877991068237,,1,0.5770197594697439,,1
holdout,Seasonal blend 24h+168h,carts,2868.33247716895,,1,4201.398049093125,,1,0.1139846334409401,,1,0.10603401047690365,,1,0.1033919041062495,,1,-1378.7953767123288,,1,0.8144602350481787,,1,0.7588017964857777,,1
holdout,Seasonal blend 24h+168h,orders,921.2211757990867,,1,1353.2095011157057,,1,0.12644426608316675,,1,0.12955015233678818,,1,0.12760948043651885,,1,-452.8547374429224,,1,0.6617061273242248,,1,0.6108550915436356,,1
holdout,Seasonal naive 168h,carts,2465.1518264840183,,1,3539.2670925647044,,1,0.09796264190244151,,1,0.09558596936265083,,1,0.09415235100335159,,1,-717.1552511415525,,1,0.6999774789041513,,1,0.6392163267321892,,1
holdout,Seasonal naive 168h,orders,826.3864155251141,,1,1168.391040644547,,1,0.11342750965481609,,1,0.12117606010690307,,1,0.1206824501102126,,1,-201.26769406392694,,1,0.5935870440843302,,1,0.5274258091620228,,1
holdout,Seasonal naive 24h,carts,4064.792808219178,,1,5508.5306887358165,,1,0.16153075766012112,,1,0.16156408896623464,,1,0.15647589768527792,,1,-2040.435502283105,,1,1.1541939898375795,,1,0.9948790697210914,,1
holdout,Seasonal naive 24h,orders,1243.9554794520548,,1,1792.895236735453,,1,0.1707418823747851,,1,0.1737439217726761,,1,0.17111480484335118,,1,-704.4417808219179,,1,0.8935237101534987,,1,0.8093345361979827,,1
holdout,Transformer,carts,3556.8312097976195,523.3366557699526,5,5029.390004039438,762.5737524070003,5,0.1413448771671796,0.02079686973144149,5,0.1483656898421693,0.022394524853700568,5,0.1456541498017752,0.022036232406107574,5,109.26092056901487,191.26548702271873,5,1.009958784839933,0.1486009376738711,5,0.9083429195947031,0.13772613937501893,5
holdout,Transformer,orders,1183.2564149064015,220.2168030334265,5,1733.9882657630756,309.5938398077654,5,0.1624104969593854,0.0302263482106666,5,0.1657162388784222,0.02602550217636064,5,0.1688733092803925,0.029526087632064928,5,220.30684571287946,127.97584446772855,5,0.8499240361687281,0.15818004593801344,5,0.7827432189509327,0.13975439368493456,5
