lookback,feature_set,transformer_layers,seed,parameter_count,runtime_seconds,target,mae,rmse,wape,smape,mape,bias,mase,rmsse
24,full,1,42,24560,8.700645752000128,orders,1717.5009765625,2096.7607421875,0.26418110728263855,0.21628141403198242,0.24818570911884308,1714.318603515625,1.2336678202071707,0.9465030788195264
24,full,1,123,24560,4.628747470999997,carts,2551.494384765625,3909.34912109375,0.10534706711769104,0.09484351426362991,0.09711015969514847,1646.9925537109375,0.7244943648901535,0.7060557331459667
24,full,1,123,24560,4.628747470999997,orders,1821.6309814453125,2216.05224609375,0.2801980972290039,0.21632753312587738,0.24885882437229156,1815.58203125,1.3084636065822397,1.0003527595217043
24,full,1,2026,24560,4.030234129000064,carts,2830.065185546875,4235.2861328125,0.11684880405664444,0.10412103682756424,0.10672608762979507,1880.7496337890625,0.8035942745720994,0.764922250086779
24,full,1,2026,24560,4.030234129000064,orders,1865.6075439453125,2337.564697265625,0.28696244955062866,0.2093036025762558,0.24091483652591705,1855.7325439453125,1.3400516352005194,1.0552048799623692
24,full,2,42,37264,8.239176186000122,carts,2578.021240234375,4040.175048828125,0.10644231736660004,0.0910492017865181,0.09315646439790726,1684.82275390625,0.7320266398659929,0.7296837884481705
24,full,2,42,37264,8.239176186000122,orders,1766.357666015625,2167.061767578125,0.2716961205005646,0.21274533867835999,0.24349360167980194,1762.3944091796875,1.268761206704574,0.9782378002083062
24,full,2,123,37264,6.2801636859999235,carts,2303.909912109375,3754.845703125,0.09512470662593842,0.09242425113916397,0.0944410115480423,1320.4725341796875,0.6541929931353297,0.6781513215536225
24,full,2,123,37264,6.2801636859999235,orders,1614.5633544921875,1963.784423828125,0.24834753572940826,0.2057628184556961,0.2345665693283081,1606.279541015625,1.1597285132898854,0.8864759750331124
24,full,2,2026,37264,9.901421492000054,carts,2634.1103515625,4011.87939453125,0.10875815153121948,0.09521586447954178,0.09703745692968369,1690.2130126953125,0.7479530888252979,0.7245733991773362
24,full,2,2026,37264,9.901421492000054,orders,1801.3048095703125,2202.554443359375,0.2770715653896332,0.21014295518398285,0.2403741478919983,1793.4666748046875,1.2938634727294047,0.9942596869295042
72,history_only,1,42,24400,4.159375746000023,carts,3400.89208984375,4959.9033203125,0.14041732251644135,0.13802438974380493,0.13866043090820312,1462.4122314453125,0.9656800224224776,0.8957931589511605
72,history_only,1,42,24400,4.159375746000023,orders,1580.6632080078125,2128.781494140625,0.24313312768936157,0.2030991166830063,0.22333531081676483,1325.728515625,1.1353782972557807,0.9609576284496646
72,history_only,1,123,24400,5.479792957999962,carts,2876.5,4246.03271484375,0.11876602470874786,0.12813204526901245,0.12807327508926392,1232.4781494140625,0.8167793952632818,0.7668631324137528
72,history_only,1,123,24400,5.479792957999962,orders,1331.307373046875,1647.73486328125,0.20477791130542755,0.19126597046852112,0.20609143376350403,1148.8385009765625,0.9562679074684685,0.7438073680497914
72,history_only,1,2026,24400,3.1104400189999524,carts,2911.469482421875,4342.96875,0.12020985782146454,0.12562279403209686,0.12501244246959686,1097.239013671875,0.8267089460038377,0.7843704201528607
72,history_only,1,2026,24400,3.1104400189999524,orders,1365.2042236328125,1773.8001708984375,0.20999182760715485,0.18405303359031677,0.1990816444158554,1146.2169189453125,0.9806157560839245,0.8007148190721576
72,history_only,2,42,37104,8.305852549000065,carts,2899.719970703125,4149.06298828125,0.11972473561763763,0.1228250116109848,0.12188072502613068,1460.5059814453125,0.8233726835055657,0.7493496828347923
72,history_only,2,42,37104,8.305852549000065,orders,1493.080322265625,1882.3795166015625,0.22966136038303375,0.19273200631141663,0.2098996788263321,1346.94921875,1.0724681800474216,0.8497288021817982
72,history_only,2,123,37104,6.467724307000026,carts,3135.5126953125,4505.61767578125,0.12946023046970367,0.1358281522989273,0.1357622891664505,1471.82568359375,0.8903257997975618,0.81374597045871
72,history_only,2,123,37104,6.467724307000026,orders,1387.9510498046875,1730.386962890625,0.21349067986011505,0.19383972883224487,0.20826123654842377,1206.8543701171875,0.996954627410946,0.7811175420020281
72,history_only,2,2026,37104,7.344611713000177,carts,2804.248779296875,4100.16357421875,0.11578288674354553,0.11923235654830933,0.11827646940946579,1428.328857421875,0.7962637309653738,0.7405181147047404
72,history_only,2,2026,37104,7.344611713000177,orders,1399.167724609375,1730.281982421875,0.2152159959077835,0.1823219507932663,0.19683334231376648,1265.2274169921875,1.0050114791653868,0.7810701594194662
72,full,1,42,24560,4.958809084999984,carts,2612.995849609375,4082.4794921875,0.10788635909557343,0.10151809453964233,0.1040109321475029,1542.879638671875,0.7419576463999341,0.7373242577493396
72,full,1,42,24560,4.958809084999984,orders,1789.82080078125,2218.749755859375,0.2753051519393921,0.21411330997943878,0.24659663438796997,1784.580810546875,1.2856145970179054,1.0015703541507397
72,full,1,123,24560,7.055845916999942,carts,3283.189208984375,4688.50732421875,0.13555756211280823,0.12230224907398224,0.12668335437774658,2306.95361328125,0.9322584031459031,0.8467771502555597
72,full,1,123,24560,7.055845916999942,orders,2247.7333984375,2812.71142578125,0.3457399606704712,0.25065478682518005,0.29659757018089294,2237.89794921875,1.614529714915908,1.2696918600090787
72,full,1,2026,24560,5.5989300979999825,carts,3241.193115234375,4507.7255859375,0.13382360339164734,0.1264774203300476,0.13092784583568573,2020.4825439453125,0.9203336529089676,0.8141266874101276
72,full,1,2026,24560,5.5989300979999825,orders,1913.1429443359375,2405.6611328125,0.2942742109298706,0.23020344972610474,0.26734206080436707,1865.68994140625,1.3741959498663243,1.0859444074266225
72,full,2,42,37264,8.291172128000198,carts,3007.595458984375,4330.07958984375,0.12417873740196228,0.11707598716020584,0.12058378756046295,1902.1031494140625,0.8540038241563881,0.7820425542636565
72,full,2,42,37264,8.291172128000198,orders,1914.05859375,2395.616943359375,0.29441502690315247,0.22418777644634247,0.25973692536354065,1884.4029541015625,1.3748536538397924,1.0814103339310819
72,full,2,123,37264,6.98310982199996,carts,3162.558837890625,4602.86767578125,0.13057692348957062,0.13543950021266937,0.1399737298488617,1851.8966064453125,0.8980055258462896,0.831309995210358
72,full,2,123,37264,6.98310982199996,orders,2001.4693603515625,2567.770263671875,0.3078603148460388,0.24972912669181824,0.29269880056381226,1931.8001708984375,1.437640139185388,1.1591224589238724
72,full,2,2026,37264,9.994869154999833,carts,3020.342529296875,4414.85888671875,0.12470504641532898,0.11062385886907578,0.11416710913181305,2042.3758544921875,0.8576233424533539,0.7973543335233624
72,full,2,2026,37264,9.994869154999833,orders,1894.7366943359375,2369.16796875,0.29144299030303955,0.2201654016971588,0.25418582558631897,1877.8466796875,1.360974881217423,1.06947096387834
168,history_only,1,42,24400,2.6963090270000976,carts,4186.8876953125,6108.27197265625,0.17286980152130127,0.18091118335723877,0.18177783489227295,1659.7127685546875,1.1888627150400206,1.1031964925329811
168,history_only,1,42,24400,2.6963090270000976,orders,1806.8233642578125,2415.08740234375,0.2779204249382019,0.2516234219074249,0.27951422333717346,1462.442138671875,1.297827408368992,1.0901996164714205
168,history_only,1,123,24400,6.7213179850000415,carts,4196.95947265625,6110.2001953125,0.17328566312789917,0.1718806028366089,0.17664660513401031,1789.3612060546875,1.1917225864838081,1.1035447439702732
168,history_only,1,123,24400,6.7213179850000415,orders,1818.448974609375,2534.112548828125,0.2797086536884308,0.2384788542985916,0.2701500952243805,1476.158935546875,1.3061779954002117,1.1439289796235705
